"s"	"p"	"o"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-dt"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-dt-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-lang"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longnvarchar-lang-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarbinary"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarbinary-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-uri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-uri-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-literal"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-uri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-uri-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-literal"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-doubleprecision"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-doubleprecision-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-date"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-date-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-time"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-time-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-datetime"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-datetime-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-uri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-uri-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-literal"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#multipart-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-uri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-uri-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-literal"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-literal-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#zeropart-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-uri-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
